Vancouver - 100000 iterations

Probabilities of good hands:
5,6,7,
0.40605,0.74234,0.8553,

hand sizes/types,twolandCreature,goodhand,keepable,
7,0.38774,0.4035,0.06406,
6,0.17491,0.45764,0.10979,
5,0.0,0.17897,0.22708,


After Draw
Probabilities of good hands:
5,6,7,
0.7398,0.85562,0.91909,

hand sizes/types,twolandCreature,goodhand,keepable,
7,0.56337,0.31976,0.03596,
6,0.45504,0.36076,0.03982,
5,0.1752,0.49247,0.07213,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.5972965666396324,0.8858722330006311,0.9410830277774755,

hand sizes/types,twolandCreature,goodhand,keepable,
7,0.6129649979871394,0.347909345113101,0.039125656899759546,
6,0.5318248755288563,0.4216357728898343,0.04653935158130946,
5,0.23682076236820762,0.6656799134901324,0.0974993241416599,

p of good hand by 5
0.97822
p of improvement after draw
7,6,5
[0.18512, 0.33213, 0.20795]
p of good hand after draw
0.99737

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.18525, 0.20427, 0.31713]
Broke Keepable Hand
[0.05415, 0.09765, 0.29792]
Broke Kept hand
0.04574635562552391
