London - 100000 iterations

Probabilities of good hands:
5,6,7,
0.77738,0.78051,0.77926,

hand sizes/types,twolandCreature,goodhand,keepable,
7,0.23873,0.40291,0.13762,
6,0.0,0.64353,0.13698,
5,0.0,0.46229,0.31509,


After Draw
Probabilities of good hands:
5,6,7,
0.83073,0.84986,0.86597,

hand sizes/types,twolandCreature,goodhand,keepable,
7,0.44309,0.31895,0.10393,
6,0.28946,0.46254,0.09786,
5,0.0,0.68881,0.14192,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.7014433088969942,0.8917233426682042,0.9336466621245539,

hand sizes/types,twolandCreature,goodhand,keepable,
7,0.5116689954617365,0.36831529960622195,0.12001570493204153,
6,0.34059727484526864,0.5442543477749276,0.11514837737980373,
5,0.0,0.8291623030346803,0.17083769696531967,

p of good hand by 5
0.98951
p of improvement after draw
7,6,5
[0.29816, 0.37393, 0.24275]
p of good hand after draw
0.99666

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.18684, 0.19953, 0.34392]
Broke Keepable Hand
[0.05746, 0.09202, 0.24802]
Broke Kept hand
0.26637426605087366
