Paris - 100000 iterations

Probabilities of good hands:
5,6,7,
0.5761,0.75091,0.86026,

hand sizes/types,PerfectCurve,GoodCurve,keepable,
7,0.32589,0.25642,0.27795,
6,0.13549,0.25326,0.36216,
5,0.0,0.14566,0.43044,


After Draw
Probabilities of good hands:
5,6,7,
0.75227,0.85898,0.92405,

hand sizes/types,PerfectCurve,GoodCurve,keepable,
7,0.50787,0.20874,0.20744,
6,0.32617,0.25745,0.27536,
5,0.13553,0.25522,0.36152,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.7847049596554428,0.8974364944469021,0.9536929819814945,

hand sizes/types,PerfectCurve,GoodCurve,keepable,
7,0.5496131161733673,0.22589686705264866,0.22449001677398409,
6,0.3797178048382966,0.2997159421639619,0.3205662529977415,
5,0.18016137822856154,0.3392664867667194,0.48057213500471907,

p of good hand by 5
0.98525
p of improvement after draw
7,6,5
[0.22203, 0.27344, 0.26741]
p of good hand after draw
0.99713

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.22319, 0.25426, 0.23256]
Broke Keepable Hand
[0.04279, 0.0881, 0.16196]
Broke Kept hand
0.1507536158335448
