Paris - 100000 iterations

Probabilities of good hands:
5,6,7,
0.12614,0.38319,0.61975,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.06148,0.1575,0.03356,0.13771,0.2295,
6,0.01832,0.07367,0.02405,0.08559,0.18156,
5,0.00232,0.01743,0.01368,0.03341,0.0593,


After Draw
Probabilities of good hands:
5,6,7,
0.38443,0.61877,0.78006,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.13209,0.23494,0.03543,0.17055,0.20705,
6,0.06001,0.15932,0.03284,0.13772,0.22888,
5,0.0192,0.07351,0.02458,0.08575,0.18139,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.202611658819551,0.40942514989414486,0.5904930389970002,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.16933312822090607,0.30118196036202344,0.045419583108991614,0.21863702792092915,0.2654283003871497,
6,0.09698272379074616,0.2574785461480033,0.053073031982804594,0.2225705835770965,0.36989511450134943,
5,0.049944073043206826,0.19121816715656947,0.06393881851052208,0.2230575137216138,0.47184142756808783,

p of good hand by 5
0.79476
p of improvement after draw
7,6,5
[0.1469, 0.10068, 0.03004]
p of good hand after draw
0.94777

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.45186, 0.42314, 0.3172]
Broke Keepable Hand
[0.31944, 0.36543, 0.30654]
Broke Kept hand
0.3683753585988223
