London - 100000 iterations

Probabilities of good hands:
5,6,7,
0.46957,0.61243,0.62287,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.06104,0.15819,0.03409,0.13463,0.23492,
6,0.05537,0.15237,0.03429,0.13426,0.23614,
5,0.05411,0.15004,0.03326,0.13573,0.09643,


After Draw
Probabilities of good hands:
5,6,7,
0.56485,0.68489,0.78258,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.13226,0.2365,0.03664,0.16786,0.20932,
6,0.10188,0.21547,0.0365,0.15923,0.17181,
5,0.09124,0.18198,0.03247,0.18069,0.07847,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.4689209524652563,0.4896260713399232,0.5903549796825883,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.16900508574203277,0.3022055253137059,0.04681949449257584,0.2144956426180071,0.26747425183367834,
6,0.14875381448115757,0.3146052650790638,0.05329322956971193,0.23248988888726657,0.25085780198280017,
5,0.16152960963087545,0.3221740285031424,0.0574842878640347,0.31989023634593255,0.13892183765601487,

p of good hand by 5
0.92253
p of improvement after draw
7,6,5
[0.14922, 0.12319, 0.07623]
p of good hand after draw
0.96978

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.452, 0.47615, 0.39334]
Broke Keepable Hand
[0.32058, 0.34955, 0.29998]
Broke Kept hand
0.38230735043846814
