London - 100000 iterations

Probabilities of good hands:
5,6,7,
0.53231,0.53118,0.53283,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.05337,0.08377,0.06688,0.32881,
6,0.05263,0.08386,0.06725,0.32744,
5,0.04941,0.07478,0.07865,0.32947,


After Draw
Probabilities of good hands:
5,6,7,
0.6762,0.67554,0.67534,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.10002,0.13286,0.06805,0.37441,
6,0.09109,0.12877,0.06679,0.38889,
5,0.08172,0.11571,0.07448,0.40429,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.3644927536231884,0.43073689196790715,0.6320371960790121,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.14810317765866082,0.19673053573015073,0.10076405958480172,0.5544022270263868,
6,0.13484027592740622,0.19061787606951475,0.09886905290582348,0.5756727950972556,
5,0.12085181898846495,0.17111801242236024,0.11014492753623188,0.5978852410529429,

p of good hand by 5
0.89827
p of improvement after draw
7,6,5
[0.21024, 0.19816, 0.18442]
p of good hand after draw
0.96588

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.25605, 0.39675, 0.44708]
Broke Keepable Hand
[0.2485, 0.38456, 0.42973]
Broke Kept hand
0.3692097030959511
