London - 100000 iterations

Probabilities of good hands:
4,5,6,7,
0.33965,0.33971,0.33686,0.33836,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.07358,0.02365,0.03511,0.03739,0.00651,0.00622,0.1559,
6,0.07492,0.02364,0.03374,0.03813,0.00586,0.00616,0.15441,
5,0.07416,0.02271,0.03375,0.0366,0.00805,0.00628,0.15816,
4,0.07108,0.02276,0.03959,0.03576,0.0,0.01395,0.15651,


After Draw
Probabilities of good hands:
4,5,6,7,
0.44551,0.44992,0.44478,0.44467,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.11833,0.03316,0.04434,0.05835,0.00911,0.0071,0.17428,
6,0.11461,0.03301,0.04304,0.0604,0.00907,0.0077,0.17695,
5,0.10959,0.03013,0.04325,0.06091,0.01084,0.00999,0.18521,
4,0.10246,0.02852,0.04762,0.05876,0.00489,0.01686,0.1864,


After Draw & Thoughtseize
Probabilities of good hands:
4,5,6,7,
0.48970842405333215,0.5852818278805121,0.7032690318809299,0.8513954168259609,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.26610745046888706,0.0745721546315245,0.09971439494456563,0.13122090539051431,0.02048710279533137,0.015966896799874064,0.39193109496930306,
6,0.2576779531453752,0.07421646656774135,0.09676694095957553,0.1357974729079545,0.02039210396150906,0.017311929493232608,0.3978371329646117,
5,0.24357663584637268,0.06696746088193456,0.09612820056899005,0.13537962304409673,0.02409317211948791,0.022203947368421052,0.411650960170697,
4,0.2299836142847523,0.06401652039235932,0.10688873425961258,0.1318937846512985,0.010976184597427666,0.0378442683665911,0.4183968934479585,

p of good hand by 3
0.80843
p of improvement after draw
7,6,5
[0.15684, 0.15535, 0.1553, 0.14571]
p of good hand after draw
0.9064

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.10962, 0.18881, 0.24342, 0.27461]
Broke Keepable Hand
[0.06608, 0.13198, 0.18659, 0.22734]
Broke Kept hand
0.22504112910208676
