Vancouver - 100000 iterations

Probabilities of good hands:
5,6,7,
0.16714,0.3545,0.53028,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.05339,0.0838,0.0669,0.32619,
6,0.0221,0.04105,0.05515,0.2362,
5,0.00549,0.01226,0.03562,0.11377,


After Draw
Probabilities of good hands:
5,6,7,
0.47366,0.64256,0.67352,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.09978,0.13416,0.06857,0.37101,
6,0.08247,0.11397,0.07103,0.37509,
5,0.0393,0.06299,0.0675,0.30387,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.30559895283536714,0.4653728834661355,0.6320673476659936,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.1481470483430336,0.19919230312388644,0.10180840954982777,0.5508522389832522,
6,0.12834599103585656,0.17736865039840638,0.11054220617529881,0.5837431523904383,
5,0.08297090740193387,0.1329856859350589,0.1425072837056116,0.6415361229573956,

p of good hand by 5
0.74767
p of improvement after draw
7,6,5
[0.21038, 0.36568, 0.33972]
p of good hand after draw
0.9377

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.25533, 0.34781, 0.33064]
Broke Keepable Hand
[0.24781, 0.34353, 0.32891]
Broke Kept hand
0.16314684285848036
