Paris - 100000 iterations

Probabilities of good hands:
5,6,7,
0.16817,0.35048,0.53209,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.05337,0.08294,0.06593,0.32985,
6,0.02138,0.04066,0.05509,0.23335,
5,0.00598,0.01222,0.03672,0.11325,


After Draw
Probabilities of good hands:
5,6,7,
0.35353,0.53022,0.67664,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.10127,0.13255,0.06709,0.37573,
6,0.05198,0.08279,0.0668,0.32865,
5,0.02152,0.04033,0.05599,0.23569,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.34956015048227873,0.49769906831126703,0.6283991487349255,

hand sizes/types,T3KarnGG,Tron+payoff,Tron,solid_keep,
7,0.1496659966895247,0.1958944194845117,0.09915169070702294,0.5552878931189407,
6,0.09803477801667232,0.15614273320508468,0.12598544000603523,0.6198370487722078,
5,0.060871778915509295,0.11407801318134246,0.15837411252227535,0.6666760953808729,

p of good hand by 5
0.74765
p of improvement after draw
7,6,5
[0.21314, 0.22122, 0.20354]
p of good hand after draw
0.90218

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.2588, 0.27028, 0.23174]
Broke Keepable Hand
[0.25144, 0.26633, 0.22995]
Broke Kept hand
0.16466260950979736
