Paris - 100000 iterations

Probabilities of good hands:
5,6,7,
0.13627,0.23279,0.33843,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.0755,0.02346,0.03353,0.0373,0.00629,0.00602,0.15633,
6,0.0406,0.01465,0.02233,0.02039,0.00332,0.00463,0.12687,
5,0.01667,0.00682,0.01207,0.00835,0.001,0.00299,0.08837,


After Draw
Probabilities of good hands:
5,6,7,
0.23203,0.33727,0.44347,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.11957,0.03264,0.04258,0.05849,0.00847,0.00699,0.17473,
6,0.07655,0.02337,0.03314,0.03674,0.00643,0.00597,0.15507,
5,0.03934,0.01459,0.02277,0.01994,0.00326,0.00494,0.12719,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.618368314442098,0.710232158211522,0.7748438451304485,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.2696236498523012,0.0736013710059305,0.09601551401447674,0.1318916724919386,0.019099375380521793,0.015762058312850925,0.3940063589419803,
6,0.22696949031932873,0.06929166543125685,0.09825955465947164,0.10893349541910043,0.019064844190114744,0.017700951759717733,0.4597799982210099,
5,0.16954704133086237,0.06287980002585873,0.09813386200060337,0.08593716329784942,0.014049907339568159,0.021290350385725985,0.548161875619532,

p of good hand by 5
0.56137
p of improvement after draw
7,6,5
[0.15468, 0.14116, 0.11717]
p of good hand after draw
0.71659

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.12316, 0.11341, 0.09688]
Broke Keepable Hand
[0.09985, 0.09773, 0.08855]
Broke Kept hand
0.07601047437518926
