London - 100000 iterations

Probabilities of good hands:
4,5,6,7,
0.33969,0.34041,0.33773,0.33952,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.0753,0.02427,0.03416,0.03806,0.00644,0.00607,0.15522,
6,0.07524,0.02399,0.03474,0.03696,0.00593,0.0059,0.15497,
5,0.07421,0.02292,0.03475,0.03609,0.00793,0.00596,0.15855,
4,0.06945,0.0219,0.04082,0.03569,0.0,0.01448,0.15735,


After Draw
Probabilities of good hands:
4,5,6,7,
0.44705,0.45056,0.44592,0.44618,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.1196,0.0335,0.04405,0.06002,0.00907,0.00694,0.173,
6,0.11571,0.03257,0.04465,0.05848,0.00884,0.0083,0.17737,
5,0.11116,0.02961,0.04394,0.05984,0.01047,0.00913,0.18641,
4,0.10205,0.02751,0.04846,0.05831,0.00501,0.01732,0.18839,


After Draw & Thoughtseize
Probabilities of good hands:
4,5,6,7,
0.48339111956157027,0.5814763849431818,0.6993631144599928,0.8536465103769779,

hand sizes/types,theNuts,strongLedAndLoot,weakLedAndLoot,strongThreeLootAndDredge,weakThreeLootAndDredge,threeLootNoDredge,twoLootAndDredge,
7,0.2680532520507419,0.07508180554932986,0.09872697117755166,0.13451970056927698,0.020328118696490205,0.015554260612308933,0.38773589134430053,
6,0.25948600645855757,0.07304000717617509,0.10013006817366343,0.13114459992823824,0.019824183710082526,0.018613204162181558,0.3977619303911015,
5,0.24671519886363635,0.06571821732954546,0.09752308238636363,0.1328125,0.023237748579545456,0.020263671875,0.4137295809659091,
4,0.22827424225478135,0.06153674085672744,0.10839950788502405,0.13043283749021362,0.011206800134213175,0.03874286992506431,0.4214070014539761,

p of good hand by 5
0.80996
p of improvement after draw
7,6,5
[0.15727, 0.15498, 0.15398, 0.1474]
p of good hand after draw
0.90691

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.10868, 0.18958, 0.24438, 0.27807]
Broke Keepable Hand
[0.0653, 0.13406, 0.18857, 0.23095]
Broke Kept hand
0.2281594152797669
