Vancouver - 100000 iterations

Probabilities of good hands:
5,6,7,
0.12663,0.38665,0.61785,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.06004,0.15829,0.03293,0.13553,0.23106,
6,0.01948,0.07315,0.02472,0.0854,0.1839,
5,0.00195,0.01782,0.01303,0.03337,0.06046,


After Draw
Probabilities of good hands:
5,6,7,
0.38474,0.62183,0.77705,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.12882,0.23506,0.03579,0.1695,0.20788,
6,0.08406,0.18551,0.03385,0.12678,0.19163,
5,0.02386,0.08468,0.02549,0.08131,0.1694,


After Draw & Thoughtseize
Probabilities of good hands:
5,6,7,
0.23101315173883663,0.469662126304617,0.5889968470497394,

hand sizes/types,#TheNutz,stirNutz,double amulet,t3/4 titan,solid keep,
7,0.16578083778392638,0.3025030564313751,0.04605881217424876,0.21813268129463997,0.2675246123158098,
6,0.13518164128459548,0.29832912532364153,0.054436099898686134,0.20388208996027854,0.30817104353279834,
5,0.062015906846181836,0.22009668867287,0.06625253417892603,0.2113375266413682,0.44029734366065393,

p of good hand by 5
0.79525
p of improvement after draw
7,6,5
[0.14471, 0.15812, 0.0498]
p of good hand after draw
0.94705

Thoughtseize Probabilities
7,6,5,Hurt Keepable Hand
[0.4506, 0.38315, 0.30509]
Broke Keepable Hand
[0.31937, 0.32978, 0.29586]
Broke Kept hand
0.34760138321282613
